OTU	Sample	Abundance	file	id	round	Kingdom	Phylum	Class	Order	Family	Genus	Species	step
TAXA_143	filt_DRR225054	0.527363791839726	filt_DRR225054	DRR225054	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	match
TAXA_069	filt_DRR225051	0.477034419876909	filt_DRR225051	DRR225051	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	match
TAXA_143	filt_DRR225048	0.351054572576969	filt_DRR225048	DRR225048	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	match
TAXA_069	filt_DRR225063	0.345044378698225	filt_DRR225063	DRR225063	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	match
TAXA_143	filt_DRR225051	0.301743788465922	filt_DRR225051	DRR225051	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	match
TAXA_144	filt_DRR225057	0.261158151549943	filt_DRR225057	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA	match
TAXA_134	filt_DRR225054	0.221475690202785	filt_DRR225054	DRR225054	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA	match
TAXA_027	filt_DRR225046	0.219367588932806	filt_DRR225046	DRR225046	polish	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	match
TAXA_144	filt_DRR225048	0.193096589731902	filt_DRR225048	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	NA	match
TAXA_134	filt_DRR225060	0.176676756412299	filt_DRR225060	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA	match
