OTU	Sample	Abundance	file	id	round	Kingdom	Phylum	Class	Order	Family	Genus	Species	step
TAXA_112	filt_DRR225054_polished	0.528096750549719	filt_DRR225054_polished	DRR225054	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	polish
TAXA_056	filt_DRR225051_polished	0.477148392979257	filt_DRR225051_polished	DRR225051	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	polish
TAXA_112	filt_DRR225048_polished	0.351676128123317	filt_DRR225048_polished	DRR225048	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	polish
TAXA_056	filt_DRR225063_polished	0.345537475345168	filt_DRR225063_polished	DRR225063	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	polish
TAXA_112	filt_DRR225051_polished	0.302370640528835	filt_DRR225051_polished	DRR225051	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	polish
TAXA_016	filt_DRR225057_polished	0.268369690011481	filt_DRR225057_polished	DRR225057	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	polish
TAXA_018	filt_DRR225046_polished	0.219367588932806	filt_DRR225046_polished	DRR225046	polish	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	polish
TAXA_016	filt_DRR225048_polished	0.196701611900717	filt_DRR225048_polished	DRR225048	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	polish
TAXA_021	filt_DRR225046_polished	0.154150197628458	filt_DRR225046_polished	DRR225046	polish	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	polish
TAXA_112	filt_DRR225057_polished	0.125322904707233	filt_DRR225057_polished	DRR225057	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	polish
TAXA_016	filt_DRR225063_polished	0.114891518737673	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	polish
TAXA_075	filt_DRR225054_polished	0.112142682628879	filt_DRR225054_polished	DRR225054	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	Faecalicatena contorta	polish
TAXA_027	filt_DRR225060_polished	0.108703733205884	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia hansenii	polish
TAXA_039	filt_DRR225046_polished	0.104743083003953	filt_DRR225046_polished	DRR225046	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	polish
TAXA_015	filt_DRR225060_polished	0.101800223036482	filt_DRR225060_polished	DRR225060	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola vulgatus	polish
TAXA_043	filt_DRR225046_polished	0.100790513833992	filt_DRR225046_polished	DRR225046	polish	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	polish
TAXA_015	filt_DRR225048_polished	0.0948493763726018	filt_DRR225048_polished	DRR225048	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unknown	Phocaeicola	Phocaeicola vulgatus	polish
TAXA_025	filt_DRR225046_polished	0.0909090909090909	filt_DRR225046_polished	DRR225046	polish	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	polish
TAXA_014	filt_DRR225060_polished	0.0843290319154586	filt_DRR225060_polished	DRR225060	polish	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	polish
TAXA_181	filt_DRR225054_polished	0.0819692157341803	filt_DRR225054_polished	DRR225054	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	polish
TAXA_075	filt_DRR225060_polished	0.0781158727629972	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalicatena	Faecalicatena contorta	polish
TAXA_022	filt_DRR225046_polished	0.0770750988142292	filt_DRR225046_polished	DRR225046	polish	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans	polish
TAXA_181	filt_DRR225060_polished	0.0721682332324359	filt_DRR225060_polished	DRR225060	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Faecalimonas	Faecalimonas umbilicata	polish
TAXA_056	filt_DRR225057_polished	0.0698191733639495	filt_DRR225057_polished	DRR225057	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium pseudocatenulatum	polish
TAXA_030	filt_DRR225046_polished	0.0612648221343874	filt_DRR225046_polished	DRR225046	polish	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	polish
TAXA_101	filt_DRR225063_polished	0.0610618014464168	filt_DRR225063_polished	DRR225063	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia intestinalis	polish
TAXA_048	filt_DRR225046_polished	0.0553359683794466	filt_DRR225046_polished	DRR225046	polish	Bacteria	Actinobacteria <actinobacteria>	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	polish
TAXA_182	filt_DRR225054_polished	0.0543611043244564	filt_DRR225054_polished	DRR225054	polish	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia argi	polish
