filt_DRR225046	filt_DRR225048	filt_DRR225051	filt_DRR225054	filt_DRR225057	filt_DRR225060	filt_DRR225063
TAXA_001	0	0	0	0	0	0	1
TAXA_002	0	13	8	22	32	32	5
TAXA_003	0	0	0	0	13	0	0
TAXA_004	0	0	0	0	0	24	0
TAXA_005	25	22	45	0	52	68	0
TAXA_006	0	28	0	0	61	0	0
TAXA_007	0	0	0	0	313	0	0
TAXA_008	0	0	0	0	17	10	0
TAXA_009	0	0	0	0	33	14	0
TAXA_010	0	0	0	0	0	10	0
TAXA_011	2	0	0	0	0	0	0
TAXA_012	0	4	0	0	0	0	0
TAXA_013	0	97	0	0	0	0	0
TAXA_014	0	0	14	0	0	0	0
TAXA_015	1	0	0	0	0	0	0
TAXA_016	0	296	46	130	373	632	111
TAXA_017	0	22	15	97	697	0	0
TAXA_018	0	0	0	0	40	0	47
TAXA_019	0	0	0	0	296	1437	283
TAXA_020	0	2012	182	416	252	1746	310
TAXA_021	0	0	0	0	5	0	0
TAXA_022	0	0	0	0	0	0	567
TAXA_023	0	87	0	0	198	0	166
TAXA_024	0	0	0	0	0	0	125
TAXA_025	0	0	0	0	0	0	65
TAXA_026	0	0	0	0	0	5	0
TAXA_027	111	0	0	0	0	0	0
TAXA_028	0	0	0	0	0	0	2
TAXA_029	0	0	3	0	0	0	0
TAXA_030	0	0	0	3	3	0	1
TAXA_031	0	0	0	0	0	9	0
TAXA_032	0	0	4	0	0	0	3
TAXA_033	3	0	0	0	0	0	0
TAXA_034	76	0	0	0	0	0	0
TAXA_035	39	0	0	0	0	0	0
TAXA_036	0	0	0	0	0	3	0
TAXA_037	0	56	39	0	69	42	0
TAXA_038	0	167	77	0	0	94	0
TAXA_039	46	0	0	0	0	0	0
TAXA_040	0	0	16	0	0	22	0
TAXA_041	0	14	0	0	0	2020	0
TAXA_042	0	12	0	0	0	0	0
TAXA_043	0	14	2	0	0	15	8
TAXA_044	31	0	0	0	0	22	0
TAXA_045	0	0	0	0	0	13	0
TAXA_046	0	0	4	0	8	0	0
TAXA_047	3	0	0	0	0	0	0
TAXA_048	20	0	0	0	0	0	0
TAXA_049	0	0	9	0	28	0	0
TAXA_050	3	0	0	0	0	0	0
TAXA_051	0	21	5	0	0	11	0
TAXA_052	53	0	0	0	0	0	0
TAXA_053	0	0	0	0	42	0	49
TAXA_054	0	52	14	0	100	71	0
TAXA_055	3	0	4	6	0	1	0
TAXA_056	49	0	48	68	0	18	0
TAXA_057	0	0	45	0	0	0	0
TAXA_058	0	0	0	0	0	121	0
TAXA_059	0	0	8	0	0	0	0
TAXA_060	0	13	15	13	1	0	9
TAXA_061	28	0	0	0	0	0	0
TAXA_062	0	0	0	0	101	0	0
TAXA_063	0	0	63	0	25	0	40
TAXA_064	0	0	20	0	0	0	0
TAXA_065	0	0	0	0	2	0	2
TAXA_066	0	0	0	0	15	0	58
TAXA_067	0	0	0	0	15	0	0
TAXA_068	0	0	0	0	410	0	0
TAXA_069	0	575	8371	159	1946	0	8397
TAXA_070	0	0	0	0	0	885	958
TAXA_071	0	0	0	0	0	0	191
TAXA_072	0	529	103	225	119	51	14
TAXA_073	0	0	0	0	159	0	25
TAXA_074	0	0	0	0	61	0	18
TAXA_075	0	0	0	0	131	0	0
TAXA_076	0	0	0	0	0	25	0
TAXA_077	0	230	80	107	6	31	0
TAXA_078	0	12	0	0	0	0	0
TAXA_079	0	0	0	0	0	0	2
TAXA_080	0	338	7	0	13	101	15
TAXA_081	0	0	0	0	13	19	405
TAXA_082	0	0	0	0	202	436	0
TAXA_083	0	0	0	0	0	30	0
TAXA_084	0	0	0	0	0	0	123
TAXA_085	0	0	0	0	0	410	43
TAXA_086	0	0	11	0	0	11	121
TAXA_087	0	0	1	0	0	9	0
TAXA_088	1	0	0	0	0	0	0
TAXA_089	0	0	0	0	7	0	0
TAXA_090	0	0	0	0	76	0	0
TAXA_091	0	0	0	0	30	0	0
TAXA_092	0	0	0	0	16	0	0
TAXA_093	0	0	0	0	0	0	96
TAXA_094	0	0	0	0	0	11	0
TAXA_095	0	0	0	0	0	0	23
TAXA_096	0	0	0	0	16	0	10
TAXA_097	0	0	0	0	49	0	66
TAXA_098	0	0	25	0	0	0	0
TAXA_099	0	0	0	0	0	0	96
TAXA_100	0	0	0	0	14	0	0
TAXA_101	0	0	0	0	56	0	0
TAXA_102	0	0	0	47	39	0	15
TAXA_103	0	0	0	0	31	0	0
TAXA_104	0	0	0	0	35	0	0
TAXA_105	0	0	0	0	16	0	0
TAXA_106	0	0	0	0	0	0	41
TAXA_107	0	0	0	0	0	0	309
TAXA_108	0	0	0	0	0	8	0
TAXA_109	0	0	0	0	0	0	11
TAXA_110	0	11	12	19	144	0	0
TAXA_111	0	14	0	43	34	0	0
TAXA_112	0	0	0	0	0	0	8
TAXA_113	0	0	0	0	11	0	12
TAXA_114	0	38	17	9	0	0	21
TAXA_115	0	0	0	0	0	0	3
TAXA_116	0	0	0	0	0	0	3
TAXA_117	0	645	213	228	54	302	0
TAXA_118	0	143	83	74	64	201	29
TAXA_119	0	0	0	0	49	0	0
TAXA_120	0	1	4	0	10	2	2
TAXA_121	0	0	0	0	31	0	0
TAXA_122	0	15	0	0	286	0	0
TAXA_123	0	0	0	0	15	0	0
TAXA_124	0	0	0	0	506	0	571
TAXA_125	0	0	0	19	0	0	0
TAXA_126	0	0	0	0	0	0	301
TAXA_127	0	0	0	0	0	0	13
TAXA_128	0	0	0	0	18	0	0
TAXA_129	0	0	0	5	1	0	0
TAXA_130	0	0	0	0	458	0	0
TAXA_131	0	59	67	26	0	0	29
TAXA_132	0	0	0	0	116	0	235
TAXA_133	0	0	0	8	9	6	11
TAXA_134	0	1081	292	3626	1309	3327	1017
TAXA_135	0	4	8	0	10	16	7
TAXA_136	0	0	0	0	16	0	10
TAXA_137	0	6	7	4	5	0	11
TAXA_138	0	777	170	187	0	0	652
TAXA_139	0	0	0	0	0	0	96
TAXA_140	0	42	23	10	0	0	0
TAXA_141	0	36	0	188	91	115	0
TAXA_142	0	0	0	0	458	0	168
TAXA_143	0	8472	5295	8634	3493	0	515
TAXA_144	0	4660	530	0	7279	0	2549
TAXA_145	0	0	0	0	8	0	10
TAXA_146	0	0	0	0	0	0	31
TAXA_147	0	0	0	0	32	0	0
TAXA_148	0	0	0	0	0	655	0
TAXA_149	0	93	19	0	0	310	0
TAXA_150	0	0	0	102	0	0	0
TAXA_151	0	0	0	0	2	0	0
TAXA_152	0	67	26	178	273	108	118
TAXA_153	0	0	0	0	0	0	45
TAXA_154	0	0	0	0	0	0	591
TAXA_155	0	0	0	0	26	0	0
TAXA_156	0	0	0	0	20	18	13
TAXA_157	0	0	0	0	1381	395	58
TAXA_158	0	0	0	0	0	14	0
TAXA_159	0	0	0	0	0	272	0
TAXA_160	0	0	0	0	15	0	6
TAXA_161	0	0	0	0	0	0	641
TAXA_162	0	0	0	0	92	0	0
TAXA_163	0	0	0	0	157	0	36
TAXA_164	0	0	0	0	0	0	519
TAXA_165	0	0	0	0	0	41	133
TAXA_166	0	27	10	0	0	0	16
TAXA_167	1	0	0	0	0	0	0
TAXA_168	0	0	0	0	285	0	71
TAXA_169	0	0	0	0	0	0	313
TAXA_170	0	0	0	0	0	0	23
TAXA_171	0	0	0	0	68	0	27
TAXA_172	0	1	1	0	0	0	0
TAXA_173	0	24	89	132	347	9	357
TAXA_174	0	1059	507	895	1173	1963	551
TAXA_175	0	0	0	0	21	0	0
