filt_DRR225046_polished	filt_DRR225048_polished	filt_DRR225051_polished	filt_DRR225054_polished	filt_DRR225057_polished	filt_DRR225060_polished	filt_DRR225063_polished
TAXA_001	0	0	0	1	2	3	1
TAXA_002	1	0	0	0	2	3	0
TAXA_003	0	4	0	0	17	10	0
TAXA_004	0	4	3	0	336	5	0
TAXA_005	0	6	0	0	7	0	0
TAXA_006	0	0	0	0	33	25	0
TAXA_007	21	26	37	0	41	51	0
TAXA_008	0	102	0	0	0	0	0
TAXA_009	0	0	16	0	0	0	0
TAXA_010	6	5	3	0	7	8	0
TAXA_011	0	4	0	0	4	1	3
TAXA_012	0	22	17	112	709	0	0
TAXA_013	0	0	0	20	238	0	47
TAXA_014	0	0	0	0	339	1588	292
TAXA_015	0	2289	219	489	290	1917	340
TAXA_016	0	4747	529	0	7480	0	2796
TAXA_017	0	0	0	0	0	0	96
TAXA_018	111	0	0	0	0	0	0
TAXA_019	0	0	0	0	5	0	1
TAXA_020	0	0	0	0	5	0	1
TAXA_021	78	0	0	0	9	0	0
TAXA_022	39	0	0	0	0	0	0
TAXA_023	0	2	0	0	4	0	6
TAXA_024	0	185	101	0	47	109	0
TAXA_025	46	0	0	0	0	0	0
TAXA_026	0	12	20	0	8	28	0
TAXA_027	0	37	8	12	0	2047	0
TAXA_028	0	12	0	0	0	5	0
TAXA_029	0	2	0	0	0	3	4
TAXA_030	31	0	0	0	0	22	0
TAXA_031	0	0	0	0	0	18	4
TAXA_032	0	0	0	0	0	0	1
TAXA_033	0	0	0	0	0	0	6
TAXA_034	3	0	0	0	0	0	0
TAXA_035	20	0	0	0	0	0	0
TAXA_036	0	0	13	0	36	24	0
TAXA_037	3	0	0	0	0	0	0
TAXA_038	0	3	0	0	0	2	5
TAXA_039	53	0	0	0	0	25	0
TAXA_040	0	4	12	6	107	6	114
TAXA_041	0	52	15	2	100	79	13
TAXA_042	0	0	0	2	0	1	0
TAXA_043	51	0	52	68	0	18	0
TAXA_044	0	0	50	0	0	15	0
TAXA_045	0	0	0	0	0	121	0
TAXA_046	0	0	8	0	14	0	0
TAXA_047	0	2	0	1	0	0	1
TAXA_048	28	0	0	0	0	0	0
TAXA_049	0	0	0	0	101	0	0
TAXA_050	0	0	63	0	25	0	40
TAXA_051	0	0	20	0	0	0	6
TAXA_052	0	0	0	0	1	0	2
TAXA_053	0	0	0	0	25	0	116
TAXA_054	0	0	0	0	3	0	0
TAXA_055	0	0	3	0	410	0	0
TAXA_056	0	575	8373	159	1946	0	8409
TAXA_057	0	0	0	0	0	1	0
TAXA_058	0	0	0	0	0	0	201
TAXA_059	0	544	107	248	139	65	20
TAXA_060	0	0	0	0	166	0	25
TAXA_061	0	0	0	0	84	0	18
TAXA_062	0	0	0	6	131	0	0
TAXA_063	0	4	0	0	0	31	0
TAXA_064	0	3	0	0	0	0	0
TAXA_065	0	12	8	0	0	0	0
TAXA_066	0	0	0	0	0	0	3
TAXA_067	0	0	0	0	2	0	0
TAXA_068	0	0	0	0	215	455	402
TAXA_069	0	15	3	4	53	190	27
TAXA_070	0	0	0	0	0	0	123
TAXA_071	0	15	13	3	0	22	126
TAXA_072	0	0	0	0	0	2	0
TAXA_073	2	0	1	0	0	6	0
TAXA_074	0	0	0	0	76	0	0
TAXA_075	0	441	166	1836	496	1471	102
